a lot	a lot: adv. muito
divide	 n 1 divisor hidrográfico. 2 coll partilha. • vt+vi 1 dividir-se, partir ou distinguir em diversas partes. 2 separar(-se), apartar(-se). 3 distribuir, repartir, partilhar. 4 distribuir dividendos. 5 limitar, demarcar, estabelecer limitação entre. 6 desunir, desavir, discordar, divergir. 7 Math fazer a operação de divisão. 8 votar, fazer votar por divisão. the Great Divide o outro mundo, a morte. to divide off separar completamente. to divide up 1 separar em partes iguais. 2 repartir em grupos separados.
divine	 n clérigo, eclesiástico, sacerdote, teólogo, padre. • vt+vi adivinhar, pressagiar, predizer, conjeturar, vaticinar, pressentir. • adj divino: 1 que diz respeito a Deus. 2 sublime, sacro, celeste, sobrenatural. 3 perfeito, encantador.
division	 n divisão. 1 operação de dividir. 2 separação, aquilo que separa ou divide. 3 partilha, repartição, distribuição. 4 compartimento. 5 linha divisória. 6 classificação, distinção, grupo, subdivisão, seção. 7 uma das partes em que se divide um discurso; uma oração, etc. 8 distrito, área com jurisdição. 9 desunião, discórdia, discor­dância. 10 parte de um exército formada de brigadas. 11 parte da esquadra composta de diversos navios de guerra. 12 voto de um corpo legislativo. division of a word divisão silábica. division of labour divisão do trabalho, processo de organização específico do trabalho. to go into a division ir votar (no parlamento).
divorce	 n 1 divórcio, separação, dissolução judicial do matrimônio. 2 fig desunião, separação. • vt+vi divorciar-se de, separar-se judicialmente. fig separar, desunir. to divorce one’s bed não dormir. to divorce oneself from divorciar-se de. to divorce one’s wife repudiar a esposa, separar-se, divorciar-se dela.
do	 n 1 logro, velhacaria, peça. 2 sarau, reunião festiva, festança. vt+vi (ps did, pp done, pres p doing) 1 fazer, executar, agir, atuar, efetuar, trabalhar. I did my duty, why didn’t you do yours? / fiz meu dever, por que não fez o seu? 2 acabar, pôr fim a, concluir, completar. 3 preparar, arranjar. 4 interpretar, representar, desempenhar o papel de. 5 criar, produzir. 6 causar, levar a efeito ou a termo. 7 render, prestar. 8 haver-se, portar-se, atuar, proceder. 9 estar ou passar bem ou mal de saúde. 10 tratar com, ocupar-se de, acabar com. 11 servir, bastar, ser suficiente ou satisfatório, convir. 12 cozer, assar. 13 percorrer, cobrir. 14 enganar, lograr, trapacear. 15 matar, liquidar, arruinar. 16 coll acolher, entreter, sustentar. 17 visitar lugares interessantes. 18 cumprir. 19 esgotar-se, gastar-se. 20 esforçar-se. 21 traduzir, reter em, modificar. 22 sl consumir drogas. anything doing? há alguma novidade? há qualquer coisa? did you see the garden? você viu o jardim? do as you like faça como quiser. do as you would be done by não faças aos outros o que não queres que te façam. do or die! ou uma ou outra. dos and don’ts o que se pode e não se pode fazer. do you know the author of this piece? você conhece o autor desta peça? do you speak English? você fala inglês? how are you doing? Amer como vai você? I do hate him odeio-o (enfaticamente). I do not (don’t) know him não o conheço. I have done with him não tenho mais nada que fazer com ele. I have nothing to do with it nada tenho a ver com isso. it will do isto me bastará. nothing doing 1 Com não é negócio. 2 nada feito. 3 não há oferta. over done cozido demais, recozido. that will do está bom, isto chega, basta. that won’t do isto não serve, não está bom. that won’t do with me eu não posso admitir ou permitir isso. this has nothing to do with it isso não vem ao caso. to be done Amer coll 1 estar liberado, dispensado. 2 completar uma tarefa. to do a business fazer um negócio. to do a favour fazer um favor. to do a job fazer um trabalho. to do a kindness fazer um favor. to do a message dar um recado. to do a part desempenhar um papel. to do a picture pintar, fazer uma pintura. to do again refazer, fazer outra vez. to do as one is bid obedecer, fazer o que lhe mandam. to do away with 1 pôr de lado. 2 abolir, suprimir. 3 matar, liquidar. to do badly fazer maus negócios. to do better sair-se melhor. to do business with negociar com. to do for 1 convir, ser suficiente, bastante ou satisfatório. 2 pôr fim a. 3 arruinar, liquidar, matar. 4 tomar conta (da casa, da cozinha), fazer limpeza para alguém. 5 done for coll cansado, exausto. to do good well fazer bem, ter sucesso, progredir. to do harm, ill causar dano, prejuízo, fazer mal. to do in 1 lograr, trapacear. 2 matar. to do into traduzir, modificar. to do it sl praticar o ato sexual. to do it up sl fazer bem e decididamente. to do justice fazer justiça. to do like for like tratar do mesmo modo, pagar na mesma moeda. to do mischief causar dano. to do nicely prometer, ir bem, dar esperanças. to do off tirar, despir. to do one’s best esforçar-se, fazer o possível. to do one’s bit cumprir seu dever, fazer serviço militar. to do one’s hair arranjar o cabelo. to do one’s head Mil perder a cabeça. to do on top of someone’s head fazer nas coxas. to do out 1 limpar, arrumar. 2 decorar, embelezar. to do over 1 refazer, repetir, executar, interpretar outra vez. 2 dar uma segunda mão de tinta, emboçar, untar. to do someone. 1 cansar, extenuar alguém. 2 lograr. to do someone an ill turn pregar uma peça a. to do someone down desacreditar, desmoralizar com críticas. to do someone out of privar alguém de, burlar. to do someone over coll ferir, bater. to do the dishes lavar a louça. to do the garden cuidar do jardim. to do the museum visitar o museu. to do the washing lavar a roupa. to do time cumprir uma sentença de prisão. to do to tratar a alguém, agir, comportar-se com. to do to death matar, mandar matar, causar sua sentença de morte. to do up 1 embrulhar, empacotar, dobrar. 2 reparar, acondicionar, pôr em condições. 3 pentear, compor ou alisar os cabelos. 4 esgotar-se, gastar-se. 5 arruinar. to do well by tratar bem alguma pessoa. to do with 1 ter negócio ou relações com, tratar, ter de fazer com alguém ou com alguma coisa, começar. 2 encontrar um meio de, dar um jeito. 3 contentar-se com, passar com. (do you see it?) Yes, I do: No, I don’t sim, eu vejo, não, eu não vejo. to do without dispensar, passar sem. to have to do with ter negócio com, ter a ver com. under done mal cozido, cru, mal passado. we must do or die! temos de lutar ou perecer. well done bem-feito, muito bem, bem cozido, bem passado. well to do próspero, abastado. you do wisely (in doing) você faz bem (em fazer).
dock	 n Bot labaça, azeda. n 1 parte grossa da cauda dos animais. 2 cauda cortada, rabo cotó. 3 rabicho. • vt 1 derrabar ou cortar a cauda, o rabo a. 2 encurtar, abreviar, reduzir, diminuir (pagamento). 3 despojar de, desfalcar, privar de. n 1 doca, dique, estaleiro, embarcadouro. 2 pl cais, instalações portuárias. 3 rail hangar, galpão. 4 banco dos réus. • vt+vi pôr um navio no estaleiro, fazer um navio entrar em doca ou estaleiro. dry dock, graving dock dique ou doca de querena. floating dock dique ou doca flutuante. in dry dock coll desempregado. wet dock doca de carga e descarga. to be in the dock 1 estar no banco dos réus. 2 em conserto.
docker	 n estivador. n pessoa ou coisa que reduz, deduz.
dockland	 n zona das docas, cais do porto.
dockside	 n zona portuária.
doctor	 n 1 doutor, médico, cirurgião dentista. 2 qualquer pessoa que recebeu o mais elevado grau de uma faculdade. he took his doctor’s degree / ele doutorou-se. 3 Tech nome de várias ferramentas. 4 mosca artificial para pescar salmão. 5 sl dado falsificado, alterado. 6 sl xerez (vinho) adulterado. 7 sl cozinheiro de navio. • vt+vi 1 medicar(-se). 2 exercer clínica médica. 3 tratar com medicamentos. 4 doutorar. 5 consertar, remendar às pressas. 6 adulterar, alterar, falsificar. 7 castrar (animais). doctor of divinity doutor em teologia. doctor of law doutor em lei. doctor of physic doutor em medicina. Doctor of the Church Doutor da Igreja: designação de certos teólogos cujos escritos são tidos como fontes da verdadeira doutrina cristã. horse doctor veterinário, alveitar. lady doctor doutora. medical doctor médico. witch doctor curandeiro, charlatão, feiticeiro.
doctrine	 n doutrina.
document	 n documento, título, diploma que serve de prova, declaração escrita para servir de prova, peça, qualquer objeto ou fato que serve de prova, confirmação ou testemunho. • vt documentar, juntar documentos a, provar com documentos.
documentary	adj documentário, relativo a documento, que tem o valor de documento, provado com documentos, documentativo.
documentation	 n 1 documentação. 2 na biblioteconomia, sistema de classificação para documentos.
doddle	 n coll tarefa muito fácil, Braz coll canja.
dodgem	 n carrinhos elétricos (autorama), em parques de diversão.
dodgy	 adj astucioso, manhoso, ladino.
dog	 n 1 cão. 2 macho de outros animais (raposa, lobo, chacal, etc.). 3 cão de chaminé. 4 Tech grampo, gancho, gato, gato de ferro, coração de torno, arrasto. 5 cachorro: pessoa vil, baixa, de má índole. 6 homem, rapaz alegre, galhofeiro. 7 Astr = Dog Star. 8 Amer sl ostentação, espetáculo, presunção. 9 corrida de galgos. 10 sl mulher inconveniente e feia. 11 sl peça que percute a cápsula nas armas de fogo portáteis. • vt 1 perseguir alguém como um cão, seguir insistentemente, andar à espreita de, seguir as pegadas de. 2 seguir o rosto, a pista de, rastejar, caçar. 3 Naut prender. a dead dog sl coisa sem valor. a dog in the manger um invejoso, um desmancha-prazeres. a dog’s age coll muito tempo. Barking dogs don’t bite cão que ladra não morde. dog eat dog cruel, selvagem, lei do cão. dressed up like a dog’s dinner vestido com roupas finas, mas ridículas. every dog has his day toda a pessoa tem seu dia de glória, toda araruta tem seu dia de mingau. give a dog a bad name ter fama e deitar-se na cama, uma vez que se tem má fama é difícil livrar-se dela. he always helps a lame dog over a stile ele livra qualquer um de um aperto. he is an old dog at it é perro velho, é um marrão, é um finório. he has not a word to throw at a dog ele não dirige uma palavra amável a ninguém. hot dog coll cachorro-quente. jolly dog sl galhofeiro, homem divertido. lap dog cão de regaço. let sleeping dogs lie não mexa em casa de marimbondo. lucky dog felizardo. not to have a dog’s chance coll não ter nenhuma chance. pedigree dog cão de raça. sea dogs n 1 lobo-do-mar, marinheiro ou marujo velho e experimentado. 2 fenômeno luminoso no horizonte que pressagia tempestade. sheep dog cão pastor. sly dog homem matreiro, astuto, velhaco. sneaking dog sl pessoa ordinária. street dog vira-lata, cão de rua. sun dog parélio, imagem do sol refletida numa nuvem. to die a dog’s death perecer na miséria e desonra. to go to the dogs arruinar-se, dar com os burros na água. to lead a dog’s life ter vida de cachorro. to live together like cat and dog viver como cão e gato, em contínua discórdia. top dog coll pessoa que está em posição superior, que tem poder. to put on the dog Amer sl ser pretensioso, exibir-se. to rain cats and dogs chover a cântaros, chover canivetes. to throw, to give to the dogs atirar fora, desperdiçar, esbanjar. to treat like a dog tratar mal. to work like a dog tra­balhar como burro. under dog indivíduo subalterno, inferior, pessoa pobre, humilde. watch dog cão de guarda. you can’t teach an old dog new tricks o que não se aprende na mocidade não se apren­de jamais, papagaio velho não aprende a falar.
dogleg	 n ângulo agudo como as patas traseiras do cachorro, curva fechada. • vt fazer uma curva fechada.
dogmatization	n = dogma­tisation.
dogmatizer	n = dogmatiser.
dogsbody	 n 1 Brit coll serviçal humilde. 2 Naut recruta. 3 Naut sl pudim de ervilha.
dogsled	 n trenó puxado por cachorro(s).
doll	 n 1 boneca, brinquedo de criança. 2 fig mulher ou moça muito bem vestida, porém pouco inteligente. 3 sl mulher atraente ou agradável. • vt to doll up sl embonecar(-se), enfeitar(-se), ataviar muito, como se faz a uma boneca, enfeitar(-se) pretensiosamente.
dollar	 n 1 dólar: moeda dos EUA, do Canadá, Austrália, Barbados, Cingapura e da Libéria. 2 old sl moeda de 5 xelins.
dolomitization	n = dolomi­tisation.
domain	 n domínio. 1 senhorio, propriedade, grande extensão de território pertencente a um indivíduo ou ao Estado, terras, bens, soberania, império. 2 âmbito de uma arte ou ciência, pertença, esfera de ação, ramo especial.
domestic	 n 1 doméstico, criado, servidor. 2 produtos nacionais. • adj 1 doméstico, caseiro, familiar. she has domestic taste / ela é caseira. 2 nacional, do país, interno. 3 designativo do animal útil que vive ou é criado em casa. 4 manso.
domicile	 n 1 domicílio, casa de residência, habitação fixa, lugar de residência permanente. 2 domicílio legal. • vt+vi 1 domiciliar(-se), residir, fixar residência, fazer fixar domicílio. 2 pagar em domicílio determinado.
domiciliary	 adj domiciliário, domiciliar.
dominant	 n Mus dominante: nota que domina o tom, a quinta nota acima da tônica. • adj dominante, que domina, governa, que tem autoridade, que sobressai, que mais se distingue.
dominate	vt+vi 1 dominar, controlar, governar. 2 predominar, prevalecer. 3 ter autoridade ou poder sobre ou em.
donate	vt doar, dar, fazer presente, fazer donativo, contribuir.
donnish	 adj 1 importante, fátuo, empavonado. 2 Brit sério e capaz.
doomsayer	 n pessoa que prevê desgraça ou desastre de modo pessimista.
doorstop	 n calço para porta, peso, mola ou outro dispositivo para segurar a porta aberta.
dose	 n 1 dose: poção medicamentosa que se deve tomar de cada vez. 2 quantidade fixa que entra numa composição química, farmacêutica, etc. 3 porção, quantidade. 4 quinhão, partilha. 5 fig pílula, coisa desagradável ou custosa de suportar. 6 sl doença venérea (especialmente gonorréia). 7 sl excesso, fastio. • vt 1 dosar, medicamentar por dose, administrar em doses. 2 adulterar, falsificar, batizar (bebidas). 3 sl infectar com doença venérea.
doss	 n 1 sl cama ou lugar para dormir num albergue. 2 sl dormida, sono curto. • vi albergar-se, dormir num albergue.
